"TIPO","MATERIAL","RECUENTO","VOLUMEN","AREA"
"0762 x 2134mm","Door - Frame","288","1.46","263.40"
"0762 x 2134mm","Door - Panel","288","23.88","1021.71"
"0813 x 2134mm","Door - Frame","432","2.21","399.07"
"0813 x 2134mm","Door - Panel","432","38.22","1628.85"
"0915 x 2134mm","Door - Panel","144","15.09","742.80"
"ACERA DE CALLE E=10 CM","CONCRETO EN CALLE","3","11.51","115.14"
"CALLE E=10 CM","CONCRETO EN CALLE","1","138.85","1388.47"
"Cook_Top_10077","01 crhome","144","0.07","14.57"
"Cook_Top_10077","branco","144","0.01","1.97"
"Cook_Top_10077","preto","144","0.68","94.56"
"DESCANSO ESCALERAS","CONCRETO 210","8","0.57","11.31"
"ESCALONES ESCALERAS","CONCRETO 210","104","1.84","36.82"
"Lavamano sencillo","DAREX","289","3.51","254.83"
"Lavamano sencillo","Metal - Steel Polished","289","0.03","7.23"
"LOSA DE FUNDACION E 20 CM","CONCRETO 210","4","21.61","108.04"
"LOSA DE FUNDACION E 30 CM","CONCRETO 210","8","1096.46","3654.85"
"LOSA DE FUNDACION E 30 CM","Pintura Blanca","8","0.00","3654.85"
"LOSA ENTREPISO E 12 CM","CONCRETO 210","16","857.07","7142.21"
"LOSA ENTREPISO E 12 CM","MEZCLILLA","16","142.84","7142.21"
"LOSA ENTREPISO E 12 CM","Pintura Blanca","32","14.28","7215.83"
"LOSA ENTREPISO E 12 CM EN TECHO","CONCRETO 210","8","426.84","3556.96"
"LOSA ENTREPISO E 12 CM EN TECHO","MEZCLILLA","8","71.14","3556.96"
"LOSA ENTREPISO E 12 CM EN TECHO","Pintura Blanca","16","7.11","3581.14"
"LOSA ENTREPISO ESCALERA","Chapa grecada","8","0.00","39.31"
"LOSA ENTREPISO ESCALERA","CONCRETO EN LOSACERO","8","3.14","39.31"
"MURO DE CONCRETO EXT. 10 CM","CONCRETO 210","720","579.71","5797.99"
"MURO DE CONCRETO EXT. 10 CM","MEZCLILLA","720","231.88","11594.99"
"MURO DE CONCRETO EXT. 10 CM","Pintura Blanca","728","23.19","11597.57"
"MURO DE CONCRETO INT. 10 CM","CONCRETO 210","1080","981.75","9817.31"
"MURO DE CONCRETO INT. 10 CM","MEZCLILLA","1080","392.70","19631.31"
"MURO DE CONCRETO INT. 10 CM","Pintura Blanca","1080","39.27","19630.57"
"Pared de Bloque e=10 cm en Ductos","BLOQUE DE CONCRETO DE 10","352","53.25","532.46"
"Pared de Bloque e=10 cm en Ductos","DAREX","352","1.06","532.46"
"Pared de Bloque e=10 cm en Ductos","MEZCLILLA","352","10.65","532.46"
"Pared de Bloque e=15 cm en Corniza","BLOQUE DE CONCRETO DE 10","272","33.89","225.94"
"Pared de Bloque e=15 cm en Corniza","MEZCLILLA","272","9.04","451.89"
"Pared de Bloque e=15 cm en Corniza","Pintura Blanca","272","0.90","451.89"
"REFRIGERADOR 660 x 760mm","Metal - Chrome","144","0.08","10.90"
"REFRIGERADOR 660 x 760mm","Metal - Paint Finish - Ivory Matte","144","58.94","1660.73"
"SOBREPISO 7 CM","CONCRETO EN PENDIENTE","384","672.48","9606.89"
"TOPE COCINA 600mm","Counter Top","144","9.75","570.82"
"TUB 200X200","Metal - Steel - 345 MPa","16","0.21","94.69"
"VENTANA 1.00 x 1.15 mm","Glass","576","6.19","1057.25"
"VENTANA 1.00 x 1.15 mm","Metal - Aluminum","576","13.57","1344.78"
"VIGA 200X70","Metal - Steel - 345 MPa","92","0.45","199.11"
"W.C.","DAREX","281","8.08","903.39"
"W.C.","Laminate - Linen Matte","281","0.71","155.72"
