Contad,CodObr,CodCap,DesCap
1,"CORPOLEC",27,"27.- INSTALACIONES DE VÁLVULAS Y EQUIPOS BRIDADOS
"
2,"CORPOLEC",28,"28.- FABRICACIÓN, SUMIISTRO E INSTALACIONES DE SOPORTES PARA TUBERÍAS Y ACCESORIOS
"
3,"CORPOLEC",29,"29.- PREPARACIÓN DE SUPERFICIES, LIMPIEZA, SUMINISTRO Y RECUBRIMIENTO  DE PINTURAS EN TUBERÍAS , VÁLVULAS, SOPORTES  METÁLICOS Y ACCESORIOS.
"
4,"CORPOLEC",30,"30.- PRUEBAS HIROSTÁTICAS  PARA  EL SISTEMA DE  TUBERÍAS Y ACCESORIOS.
"
5,"CORPOLEC",31,"31.-VARIOS
"
6,"CORPOLEC",32,"8.- CONSTRUCCION DE TANQUILLAS, SOTANOS Y CANALES
"
7,"CORPOLEC",34,"7..- OBRAS DE CONCRETO
"
8,"LULO1",1,"ESTUDIOS Y PROYECTOS"
9,"LULO1",2,"OBRAS PRELIMINARES"
10,"LULO1",3,"MOVIMIENTO DE TIERRA"
11,"LULO1",4,"ESTRUCTURAS"
12,"LULO1",5,"OBRAS ARQUITECTONICAS"
13,"LULO1",6,"INSTALACIONES ELECTRICAS"
14,"LULO1",7,"INSTALACIONES SANITARIAS"
15,"LULO1",8,"INSTALACIONES ELECTROMECANICAS"
16,"LULO1",9,"OBRAS DE SERVICIOS"
17,"LULO1",10,"TRANSPORTES"
18,"LULO1",11,"VARIOS"
19,"LULO1",12,"INFRAESTRUCTURA"
20,"LULO1",13,"OBRAS DE CONCRETO"
21,"LULO1",14,"OBRAS PROVISIONALES"
22,"CORPOEP",35,"12.- MONTAJE DE EQUIPOS MAYORES"
23,"CORPOEP",36,"20.- SISTEMA DE DISTRIBUCIÓN ELÉCTRICA
"
24,"CORPOLEC",1,"1.- ESTUDIOS PREVIOS
"
25,"CORPOLEC",2,"2.- OBRAS PROVISIONALES
"
26,"CORPOLEC",3,"3.- CONTRATACION DE PERSONAL ITINERANTE
"
27,"CORPOLEC",4,"4.- DEFORESTACION
"
28,"CORPOLEC",5,"5.- MOVIMIENTO DE TIERRA
"
29,"CORPOLEC",6,"6..- EDIFICACIONES
"
30,"CORPOLEC",9,"9.- ACABADOS
"
31,"CORPOLEC",10,"10.- VIALIDAD INTERNA
"
32,"CORPOLEC",11,"11.- INSTALACIONES SANITARIAS
"
33,"CORPOLEC",13,"13.- SISTEMA PUESTA A TIERRA
"
34,"CORPOLEC",14,"14.- INSTALACIONES DE PARARRAYOS DE DESCARGA ATMOSFÉRICA
"
35,"CORPOLEC",15,"15.- SUMINISTRO E INSTALACIONES DE CABLES DE BAJA TENSIÓN
"
36,"CORPOLEC",16,"16.- INSTALACIONES DE CABLES  A SER SUMINISTRADOS POR EL ENTE CONTRATANTE
"
37,"CORPOLEC",17,"17.- CABLEADO, CONEXIONES E INSTALACIONES PARTICULARES
"
38,"CORPOLEC",18,"18.- SISTEMA DE ILUMINACIÓN EXTERIOR
"
39,"CORPOLEC",19,"19.- CANALIZACIONES SUBTERRÁNEAS
"
40,"CORPOLEC",21,"21.- INSTALACIÓN DE EQUIPOS ILUMINACIÓN INTERIOR
"
41,"CORPOLEC",22,"22.- CONEXIONADO Y PRUEBAS
"
42,"CORPOLEC",23,"23.- INSTALACIONE DE EQUIPOS MAYORES
"
43,"CORPOLEC",24,"24.- INSTALACIONES  DE EQUIPOS MENORES
"
44,"CORPOLEC",25,"25.- INSTALACIONES DE TUBERÍAS DE ACERO
"
45,"CORPOLEC",26,"26.- INSTALACION DE INSTRUMENTOS
"
91,"178COMPL",100,"CLOACAS, DESCARGA FINAL"
92,"457COMPL",111,"VIALIDAD,457 VIVIENDAS"
93,"457COMPL",112,"ACUEDUCTOS , ETAPA A, 457 VIVIENDAS"
94,"457COMPL",113,"ALBAÑILERIA Y ACABADOS, 457 VIVIENDAS"
95,"457COMPL",114,"ALTA Y BAJA TENSION, 457 VIVIENDAS"
96,"457COMPL",115,"CARPINTERIA Y HERRERIA, 457 VIVIENDAS"
97,"457COMPL",116,"CLOACAS, ETAPA A, 457 VIVIENDAS"
98,"457COMPL",117,"ESTRUCTURA, 457 VIVIENDAS"
99,"457COMPL",118,"INFRAESTRUCTURA, 457 VIVIENDAS"
100,"457COMPL",119,"INSTALACIONES ELECTRICAS, 457 VIVIENDAS"
101,"457COMPL",120,"INSTALACIONES SANITARIAS, 457 VIVIENDAS"
102,"457COMPL",121,"MOVIMIENTO DE TIERRA, 457 VIVIENDAS"
103,"457COMPL",122,"OBRAS EXTERIORES, 457 VIVIENDAS"
104,"457COMPL",123,"OBRAS PROVISIONALES, 457 VIVIENDAS"
105,"457COMPL",124,"PINTURA, 457 VIVIENDAS"
106,"457COMPL",125,"TECHO, 457 VIVIENDAS"
107,"457COMPL",126,"OBRAS EXTRAS URBANISMO"
108,"457COMPL",127,"OBRAS EXTRAS VIVIENDAS"
