CodGas,DesGas,TipGas,FecGas
"000000003","NOMINA MANO DE OBRA HERRERIA",3,"05/04/11 00:00:00"
"00000012","PREMEZCLADO",1,"05/03/11 00:00:00"
"0000009","NOMINA ELECTRICIDAD CASITAS",3,"05/04/11 00:00:00"
"00000111","ELECTRICIDAD",1,"05/04/11 00:00:00"
"000008","PUERTAS ",1,"05/04/11 00:00:00"
"0000088","MATERIALES DE ELECTRICIDAD",1,"03/25/11 00:00:00"
"000009","PUERTAS Y VENTANAS",1,"05/04/11 00:00:00"
"0000099","NOMINA GERARDO SANCHEZ",3,"05/03/11 00:00:00"
"00001","NOMINA RAMON FAJARDO",3,"06/02/09 00:00:00"
"0000152","MANTO ASFALTICO",1,"05/11/11 00:00:00"
"000015635","TRABAJOS EN HIERRO",4,"05/11/11 00:00:00"
"00001566","NOMINA ACUEDUCTOS",3,"05/11/11 00:00:00"
"00002","NOMINA OPERADOR",3,"06/02/09 00:00:00"
"00003","COSTO ESTACIONAMIENTO",4,"06/02/09 00:00:00"
"000030","MOVIMIENTO DE TIERRA",4,"02/09/11 00:00:00"
"00004","CEMENTO",1,"06/02/09 00:00:00"
"00005","BOTE DE ESCOMBROS",4,"06/02/09 00:00:00"
"000058","GERENCIA DE OBRA",6,"02/22/11 00:00:00"
"00006","RELLENO MATERIAL GRANULAR",1,"06/02/09 00:00:00"
"000065","TUBERIA DE PVC DE 18""",1,"02/22/11 00:00:00"
"00007","PIEDRA PICADA, ARENA, POLVILLO, INTEGRAL",1,"06/02/09 00:00:00"
"000077","BLOQUES DE ARCILLA",1,"02/25/11 00:00:00"
"00008","TUBERIA DE PVC DE 12""",1,"06/02/09 00:00:00"
"00009","TUBO DE PVC D= 6""",1,"06/02/09 00:00:00"
"000097","PUERTAS PRINCIPALES DE HIERRO",1,"03/25/11 00:00:00"
"000098","PIEZAS SANITARIAS",1,"03/25/11 00:00:00"
"00010","ARENA FINA",1,"06/02/09 00:00:00"
"00011","MATERIALES VARIOS",1,"06/02/09 00:00:00"
"000111122","BLOQUES DE CONCRETO",1,"05/11/11 00:00:00"
"00012","TRANSPORTE DE EQUIPOS",2,"06/02/09 00:00:00"
"0001223","NOMINA PLOMERIA CASITAS",3,"05/11/11 00:00:00"
"00013","EQUIPOS VARIOS ",2,"06/02/09 00:00:00"
"00014","TRIO DE EMPOTRAMIENTO",1,"06/02/09 00:00:00"
"00015","ESTACIONAMIENTO MAQUINARIAS",4,"06/02/09 00:00:00"
"00018","GASTOS DE MECANICO",4,"06/02/09 00:00:00"
"00019","PRESTAMOS",6,"06/10/09 00:00:00"
"00020","ALQUILER DE EQUIPOS",5,"06/10/09 00:00:00"
"00022","INSUMOS MAQUINARIAS",5,"06/10/09 00:00:00"
"000222","ACERO",1,"03/25/11 00:00:00"
"00024","MATERIALES PARA EMPOTRAMIENTOS",1,"06/10/09 00:00:00"
"00025","TRABAJOS TOPOGRAFICOS",3,"02/08/11 00:00:00"
"00026","VALLA PUBLICITARIA",4,"02/08/11 00:00:00"
"00027","NOMINA PERSONAL PROFESIONAL Y TECNICO",3,"02/08/11 00:00:00"
"00028","ELECTRICIDAD (RED MEDIA Y BAJA TENSION)",4,"02/08/11 00:00:00"
"00029","KIT METALICO DE ESTRUCTURA ",1,"02/08/11 00:00:00"
"00055","MATERIALES PARA PLOMERIA",1,"03/25/11 00:00:00"
"0006585","FLETE DE AGUA",1,"05/11/11 00:00:00"
"00068","TUBERIA DE ACUEDUCTOS Y CLOACAS",1,"02/25/11 00:00:00"
"00074","MACHIHEMBRADO",1,"02/25/11 00:00:00"
"00076","TANQUE DE AGUA DE 1.500 LITROS",1,"02/25/11 00:00:00"
"001","Gastos Generales",1,
"0265888","NOMINA ALBAÑILERIA BARRACA",3,"05/11/11 00:00:00"
"056858","VALVULAS",1,"05/11/11 00:00:00"
"078956","MATERIALES ACUEDUCTOS",1,"05/11/11 00:00:00"
"087587","AGUA, HIELO",1,"05/11/11 00:00:00"
"089598","TRAILER OFICINA",2,"05/11/11 00:00:00"
"101010","NOMINA ESTRUCTURA LOSAS",4,"03/25/11 00:00:00"
"1223","MANO DE OBRA ACUEDUCTO",1,"05/04/11 00:00:00"
"234","INSUMOS MANO DE OBRA",2,"03/30/11 00:00:00"
"454545","VIGILANCIA ",3,"03/25/11 00:00:00"
"45455555","SINDICATO",3,"03/25/11 00:00:00"
"99988","CONTENEDOR",2,"03/25/11 00:00:00"
"99999","MANO DE OBRA ESTRUCTURA METALICA",1,"05/04/11 00:00:00"
"NOMINA","NOMINA ALBAÑILERIA",3,"09/03/99 00:00:00"
"NOMINA CLOACAS","NOMINA CLOACAS",3,"05/04/11 00:00:00"
"OOOIMP","IMPACTO AMBIENTAL",7,"03/30/11 00:00:00"
"TRAN-01","TRANSPORTE DE MATERIALES",1,"03/30/11 00:00:00"
