Codigo_Lulo,Cantidad_Revit
LAI499,1945.44
P0001330,529.92
P0005133,2304.0
P0002930,1209.6
P0005893,667.64
*ARMRE07,11712.0
LAI530,48.0
P0003821,90.16
P0005861,13.65
P0001209,5880.03
CALBRE3,659.78
P0001211,11388.7
BOTE1,8112.4
P0000904,126000.0
FEFF,20.4
P0002330,1830.0
P0005453,128.0
LIC006,564.48
ALBAÑ27,7377.3
ESTRUC27,7.6
BREAKER,645.12
P0002673,132480.0
P0005815,10800.0
P0002674,41236.37
P0005708,11.9
*PAVAS01,13664.0
P0004769,12.0
P0003606,50.96
P0003578,1512.0
EDF-0901,547.2
